Date,Time,Temperature,Relative Temperature,Wind,Rel. Humidity
2014-01-14,1,11.0,11.0,22.0,67.0
2014-01-14,2,10.0,7.0,20.0,76.0
2014-01-14,3,9.0,6.0,17.0,87.0
2014-01-14,4,9.0,6.0,17.0,82.0
2014-01-14,5,9.0,6.0,19.0,82.0
2014-01-14,6,10.0,8.0,19.0,76.0
2014-01-14,7,9.0,7.0,15.0,82.0
2014-01-14,8,9.0,7.0,15.0,82.0
2014-01-14,9,9.0,8.0,9.0,87.0
2014-01-14,10,9.0,8.0,6.0,87.0
2014-01-14,11,10.0,9.0,9.0,88.0
2014-01-14,12,10.0,9.0,9.0,88.0
2014-01-14,13,11.0,11.0,11.0,82.0
2014-01-14,14,11.0,11.0,15.0,77.0
2014-01-14,15,9.0,9.0,0.0,82.0
2014-01-14,16,11.0,11.0,17.0,77.0
2014-01-14,17,10.0,9.0,7.0,82.0
2014-01-14,18,9.0,8.0,9.0,82.0
2014-01-14,19,8.0,6.0,9.0,87.0
2014-01-14,20,7.0,5.0,9.0,93.0
2014-01-14,21,6.0,5.0,6.0,87.0
2014-01-14,22,6.0,6.0,0.0,87.0
2014-01-14,23,6.0,4.0,7.0,87.0
2014-01-15,0,6.0,4.0,7.0,87.0
2014-01-15,1,6.0,4.0,11.0,87.0
2014-01-15,2,6.0,4.0,11.0,87.0
2014-01-15,3,5.0,2.0,13.0,87.0
2014-01-15,4,5.0,3.0,7.0,93.0
2014-01-15,5,5.0,2.0,11.0,87.0
2014-01-15,6,4.0,1.0,11.0,93.0
2014-01-15,7,4.0,1.0,11.0,93.0
2014-01-15,8,4.0,1.0,13.0,93.0
2014-01-15,9,4.0,2.0,9.0,93.0
2014-01-15,10,4.0,2.0,7.0,93.0
2014-01-15,11,6.0,4.0,9.0,81.0
2014-01-15,12,8.0,7.0,7.0,76.0
2014-01-15,13,8.0,7.0,6.0,76.0
2014-01-15,14,8.0,8.0,0.0,76.0
2014-01-15,15,8.0,7.0,6.0,87.0
2014-01-15,16,9.0,9.0,0.0,82.0
2014-01-15,17,9.0,5.0,30.0,66.0
2014-01-15,18,7.0,2.0,35.0,53.0
2014-01-15,19,6.0,2.0,28.0,57.0
2014-01-15,20,6.0,1.0,30.0,53.0
2014-01-15,21,5.0,2.0,17.0,61.0
2014-01-15,22,5.0,2.0,17.0,61.0
2014-01-15,23,5.0,2.0,15.0,61.0
2014-01-16,0,4.0,0.0,22.0,61.0
2014-01-16,1,4.0,0.0,19.0,61.0
2014-01-16,2,2.0,-3.0,19.0,81.0
2014-01-16,3,2.0,-2.0,17.0,81.0
2014-01-16,4,3.0,0.0,13.0,65.0
2014-01-16,5,3.0,0.0,13.0,60.0
2014-01-16,6,2.0,-3.0,26.0,56.0
2014-01-16,7,2.0,-3.0,20.0,52.0
2014-01-16,8,2.0,-2.0,15.0,48.0
2014-01-16,9,3.0,-1.0,19.0,45.0
2014-01-16,10,3.0,-1.0,17.0,45.0
2014-01-16,11,4.0,2.0,7.0,39.0
2014-01-16,12,4.0,1.0,11.0,39.0
2014-01-16,13,6.0,4.0,9.0,36.0
2014-01-16,14,6.0,3.0,17.0,36.0
2014-01-16,15,5.0,2.0,11.0,36.0
2014-01-16,16,4.0,2.0,9.0,39.0
2014-01-16,17,4.0,3.0,6.0,39.0
2014-01-16,18,3.0,2.0,6.0,45.0
2014-01-16,19,2.0,-1.0,9.0,56.0
2014-01-16,20,1.0,-1.0,6.0,60.0
2014-01-16,21,2.0,0.0,6.0,56.0
2014-01-16,22,2.0,-2.0,15.0,65.0
2014-01-16,23,1.0,-2.0,9.0,70.0
2014-01-17,0,2.0,-1.0,9.0,70.0
2014-01-17,1,2.0,-3.0,19.0,70.0
2014-01-17,2,2.0,-2.0,15.0,70.0
2014-01-17,3,1.0,-3.0,13.0,75.0
2014-01-17,4,1.0,-2.0,11.0,75.0
2014-01-17,5,0.0,-3.0,7.0,75.0
2014-01-17,6,1.0,-2.0,9.0,75.0
2014-01-17,7,1.0,-2.0,9.0,75.0
2014-01-17,8,2.0,-2.0,13.0,70.0
2014-01-17,9,3.0,0.0,13.0,65.0
2014-01-17,10,4.0,1.0,15.0,61.0
2014-01-17,11,6.0,3.0,13.0,53.0
2014-01-17,12,7.0,5.0,9.0,49.0
2014-01-17,13,8.0,7.0,7.0,43.0
2014-01-17,14,9.0,8.0,7.0,43.0
2014-01-17,15,9.0,8.0,9.0,46.0
2014-01-17,16,8.0,6.0,13.0,50.0
2014-01-17,17,7.0,5.0,9.0,57.0
2014-01-17,18,6.0,4.0,9.0,61.0
2014-01-17,19,6.0,4.0,7.0,61.0
2014-01-17,20,4.0,3.0,6.0,65.0
2014-01-17,21,4.0,2.0,7.0,70.0
2014-01-17,22,4.0,3.0,6.0,70.0
2014-01-17,23,3.0,2.0,6.0,70.0
2014-01-18,0,4.0,0.0,17.0,65.0
2014-01-18,1,4.0,0.0,17.0,65.0
2014-01-18,2,4.0,-1.0,24.0,70.0
2014-01-18,3,3.0,-3.0,30.0,70.0
2014-01-18,4,1.0,-5.0,26.0,70.0
2014-01-18,5,1.0,-4.0,22.0,65.0
2014-01-18,6,1.0,-5.0,26.0,60.0
2014-01-18,7,0.0,-5.0,20.0,51.0
2014-01-18,8,-1.0,-8.0,30.0,47.0
2014-01-18,9,0.0,-6.0,28.0,44.0
2014-01-18,10,0.0,-6.0,26.0,44.0
2014-01-18,11,0.0,-6.0,26.0,37.0
2014-01-18,12,0.0,-6.0,26.0,37.0
2014-01-18,13,0.0,-6.0,28.0,37.0
2014-01-18,14,0.0,-6.0,28.0,37.0
2014-01-18,15,0.0,-6.0,28.0,34.0
2014-01-18,16,-1.0,-7.0,24.0,37.0
2014-01-18,17,-2.0,-8.0,22.0,40.0
2014-01-18,18,-2.0,-7.0,17.0,40.0
2014-01-18,19,-3.0,-8.0,17.0,43.0
2014-01-18,20,-3.0,-6.0,7.0,43.0
2014-01-18,21,-4.0,-7.0,7.0,46.0
2014-01-18,22,-3.0,-7.0,9.0,43.0
2014-01-18,23,-3.0,-6.0,7.0,43.0
2014-01-19,0,-3.0,-3.0,0.0,46.0
2014-01-19,1,-3.0,-7.0,9.0,46.0
2014-01-19,2,-3.0,-5.0,6.0,46.0
2014-01-19,3,-3.0,-7.0,11.0,50.0
2014-01-19,4,-3.0,-6.0,7.0,54.0
2014-01-19,5,-3.0,-6.0,7.0,54.0
2014-01-19,6,-3.0,-6.0,7.0,54.0
2014-01-19,7,-3.0,-7.0,9.0,64.0
2014-01-19,8,-1.0,-6.0,15.0,59.0
2014-01-19,9,1.0,-2.0,11.0,51.0
2014-01-19,10,3.0,0.0,11.0,48.0
2014-01-19,11,5.0,1.0,19.0,45.0
2014-01-19,12,6.0,3.0,19.0,46.0
2014-01-19,13,10.0,7.0,28.0,35.0
2014-01-19,14,11.0,11.0,24.0,32.0
2014-01-19,15,11.0,11.0,22.0,32.0
2014-01-19,16,10.0,7.0,20.0,32.0
2014-01-19,17,8.0,6.0,13.0,37.0
2014-01-19,18,7.0,4.0,15.0,42.0
2014-01-19,19,7.0,3.0,22.0,42.0
2014-01-19,20,7.0,4.0,19.0,42.0
2014-01-19,21,6.0,2.0,24.0,42.0
2014-01-19,22,6.0,3.0,19.0,46.0
2014-01-19,23,4.0,1.0,13.0,56.0
2014-01-20,0,4.0,1.0,15.0,56.0
2014-01-20,1,5.0,2.0,15.0,57.0
2014-01-20,2,4.0,1.0,11.0,61.0
2014-01-20,3,5.0,2.0,11.0,57.0
2014-01-20,4,4.0,1.0,11.0,61.0
2014-01-20,5,4.0,1.0,15.0,65.0
2014-01-20,6,4.0,1.0,11.0,65.0
2014-01-20,7,5.0,3.0,9.0,53.0
2014-01-20,8,5.0,4.0,6.0,49.0
2014-01-20,9,8.0,7.0,6.0,43.0
2014-01-20,10,9.0,8.0,9.0,37.0
2014-01-20,11,11.0,11.0,9.0,38.0
2014-01-20,12,14.0,14.0,20.0,27.0
2014-01-20,13,15.0,15.0,15.0,27.0
2014-01-20,14,14.0,14.0,20.0,29.0
2014-01-20,15,14.0,14.0,15.0,29.0
2014-01-20,16,12.0,12.0,19.0,35.0
2014-01-20,17,11.0,11.0,22.0,38.0
2014-01-20,18,9.0,5.0,30.0,40.0
2014-01-20,19,7.0,4.0,19.0,49.0
2014-01-20,20,6.0,4.0,9.0,53.0
2014-01-20,21,4.0,1.0,11.0,61.0
2014-01-20,22,5.0,2.0,13.0,53.0
2014-01-20,23,5.0,4.0,6.0,57.0
2014-01-21,0,4.0,1.0,11.0,61.0
2014-01-21,1,4.0,3.0,6.0,61.0
2014-01-21,2,4.0,2.0,7.0,61.0
2014-01-21,3,3.0,1.0,7.0,65.0
2014-01-21,4,3.0,1.0,7.0,65.0
2014-01-21,5,3.0,-1.0,19.0,60.0
2014-01-21,6,3.0,-2.0,20.0,56.0
2014-01-21,7,3.0,-2.0,24.0,60.0
2014-01-21,8,3.0,-1.0,15.0,60.0
2014-01-21,9,2.0,-3.0,20.0,70.0
2014-01-21,10,2.0,-4.0,28.0,70.0
2014-01-21,11,0.0,-7.0,31.0,75.0
2014-01-21,12,-2.0,-9.0,31.0,80.0
2014-01-21,13,-2.0,-10.0,43.0,80.0
2014-01-21,14,-2.0,-9.0,33.0,74.0
2014-01-21,15,-3.0,-9.0,22.0,80.0
2014-01-21,16,-4.0,-12.0,31.0,74.0
2014-01-21,17,-4.0,-11.0,28.0,80.0
2014-01-21,18,-4.0,-12.0,33.0,74.0
2014-01-21,19,-6.0,-14.0,31.0,80.0
2014-01-21,20,-6.0,-14.0,30.0,80.0
2014-01-21,21,-6.0,-15.0,35.0,74.0
2014-01-21,22,-7.0,-17.0,39.0,68.0
2014-01-21,23,-8.0,-18.0,41.0,62.0
2014-01-22,0,-9.0,-19.0,39.0,45.0
2014-01-22,1,-10.0,-20.0,31.0,52.0
2014-01-22,2,-11.0,-22.0,39.0,52.0
2014-01-22,3,-11.0,-22.0,37.0,52.0
2014-01-22,4,-12.0,-21.0,22.0,52.0
2014-01-22,5,-12.0,-22.0,30.0,52.0
2014-01-22,6,-13.0,-23.0,26.0,51.0
2014-01-22,7,-13.0,-23.0,28.0,51.0
2014-01-22,8,-12.0,-23.0,35.0,47.0
2014-01-22,9,-12.0,-21.0,24.0,47.0
2014-01-22,10,-11.0,-20.0,28.0,44.0
2014-01-22,11,-10.0,-20.0,33.0,44.0
2014-01-22,12,-9.0,-18.0,30.0,37.0
2014-01-22,13,-8.0,-16.0,26.0,38.0
2014-01-22,14,-8.0,-15.0,19.0,38.0
2014-01-22,15,-8.0,-15.0,19.0,38.0
2014-01-22,16,-7.0,-13.0,15.0,32.0
2014-01-22,17,-8.0,-15.0,19.0,38.0
2014-01-22,18,-8.0,-14.0,13.0,38.0
2014-01-22,19,-8.0,-13.0,9.0,38.0
2014-01-22,20,-9.0,-15.0,13.0,37.0
2014-01-22,21,-8.0,-15.0,17.0,41.0
2014-01-22,22,-8.0,-16.0,22.0,41.0
2014-01-22,23,-9.0,-16.0,19.0,41.0
2014-01-23,0,-9.0,-16.0,17.0,45.0
2014-01-23,1,-9.0,-15.0,13.0,45.0
2014-01-23,2,-9.0,-14.0,9.0,45.0
2014-01-23,3,-9.0,-12.0,6.0,45.0
2014-01-23,4,-10.0,-15.0,9.0,48.0
2014-01-23,5,-11.0,-16.0,9.0,62.0
2014-01-23,6,-11.0,-16.0,9.0,57.0
2014-01-23,7,-9.0,-13.0,7.0,48.0
2014-01-23,8,-9.0,-12.0,6.0,53.0
